"Text";"User";"Timestamp";"Nshares";"Nlikes";"Nfriends";"Ncomments";"Replytoauthor"
"

Dave, 

 Here are the names of the west desk members by category.  The origination 
side is very sparse.  





Phillip
";"vid-delainey";970671910000;0;0;0;0;"phillip-allen
"
"

Tim,

mike grigsby is having problems with accessing the west power site.  Can you please make sure he has an active password.  

Thank you,

Phillip";"m-heizenrader";988920310000;0;0;0;0;"phillip-allen
"
"

Brenda,

Please use the second check as the October payment.  If you have already 
tossed it, let me know so I can mail you another.

Phillip";"_stone-yahoo-com";970509130000;0;0;0;0;"phillip-allen
"
"

Brenda,

 Please use the second check as my October payment.  I have my copy of the 
original deal.  Do you want me to fax this to you?

Phillip";"_stone-yahoo-com";970397890000;0;0;0;0;"phillip-allen
"
"

Jim,

Is there going to be a conference call or some type of weekly meeting about all the regulatory issues facing California this week?  Can you make sure the gas desk is included.

Phillip";"mes-steffes";988751710000;0;0;0;0;"phillip-allen
"
"

Ina,

 I scheduled a meeting with Jean Mrha tomorrow at 3:30";"a-rangel";968164990000;0;0;0;0;"phillip-allen
"
"

---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/01/2000 
01:07 PM ---------------------------
   
	Enron North America Corp.
	
	From:  Matt Motley                           09/01/2000 08:53 AM
	

To: Phillip K Allen/HOU/ECT@ECT
cc:  
Subject: FYI


--



 - Ray Niles on Price Caps.pdf


";"ke-grigsby";967733230000;10;10;10;10;"phillip-allen
"
"

Colleen,

 I am out ot the office on Friday, but Keith Holst will attend.  He has been 
managing the Transport on the west desk.

Phillip";"lleen-sullivan";965749810000;0;0;0;0;"phillip-allen
"
"

What are your skills?  Why do you want to be on a trading desk?";"rry-steinhart";965671570000;0;0;0;0;"phillip-allen
"
"

---------------------- Forwarded by Phillip K Allen/HOU/ECT on 08/07/2000 
12:42 PM ---------------------------
   
	
	
	From:  Jay Reitmeyer                           08/07/2000 10:39 AM
	

To: Phillip K Allen/HOU/ECT@ECT, Keith Holst/HOU/ECT@ect
cc:  
Subject: New Socal Curves


";"tt-smith";965571730000;0;0;0;0;"phillip-allen
"
"

Lucy,

 I didn't get a fax with the July bank statement on Friday.  Can you refax it 
to 713 646 2391

Phillip";"agecoachmama-hotmail-com";965559190000;0;0;0;0;"phillip-allen
"
"

Hunter,

Are you watching Alberto?  Do you have Yahoo Messenger or Hear Me turned on?

Phillip";"nter-shively";965413030000;0;0;0;0;"phillip-allen
"
"

can you build something to look at historical prices from where we saved 
curves each night.

Here is an example that pulls socal only.
Improvements could include a drop down menu to choose any curve and a choice 
of index,gd, or our curves.

";"ris-gaskill";965317150000;0;0;0;0;"phillip-allen
"
"

John,


The only long term deal in the west that you could put prudency against is 
the PGT transport until 2023

Phillip";"hn-lavorato";965312530000;0;0;0;0;"phillip-allen
"
"

Lucy,

 I will call you this afternoon to discuss the things in your email.

Phillip";"agecoachmama-hotmail-com";965206270000;0;0;0;0;"phillip-allen
"
"

Brenda,

 The word document attached is a notice/consent form for the sale.  The excel 
file is an amortization table for the note.
You can use the Additional Principal Reduction to record prepayments.  Please 
email me back to confirm receipt.


Phillip





";"endas-tgn-net";962907610000;0;0;0;0;"phillip-allen
"
